ID,Fecha,Ingreso,Egreso,Horas,HD,HM,,,,,,
10,06/04/2015,13:00,17:00,4:00,4,,Desarrollo,Nuevo Reporte Cedulas Unicas - Cambio de Producto Precio Por Cliente,,,,
20,,18:00,20:00,2:00,,2,Mantenimiento,Recontrucionde Stocks desde el el 26-03-2015 por Problemas con CUA AAW00010 AAW80999 Deposito y Consignacion,,,,
30,07/04/2015,9:30,11:30,2:00,,2,Mantenimiento,Recuperar Facturación SIOMMA, Facturas con Importe Cero. Mensaje PostBak en Web. Problemas Dominio 981ITD. Organización de Archivos Base de Datos,,,,
40,08/04/2015,14:00,18:00,4:00,4,,Desarrollo,Proyecto Visualización Facturas SURA en enteacara.org.ar y WACAFAC,,,,
50,09/04/2015,10:00,14:00,4:00,4,,Desarrollo,Implementación Final de Facturación Notas de Crédito/Débito Cedulas Unicas Período Enero/Marzo 2015 con Usuario del Sector Ventas con el fin de enseñar las nuevas características y modalidad de uso,,,,
50,,14:00,20:00,6:00,6,,Desarrollo,Proyecto Visualización Facturas SURA en enteacara.org.ar y WACAFAC,,,,
60,10/04/2015,9:30,11:30,2:00,,2,Mantenimiento,Rev. De Bases Conflicto Claves R-1173 y R-1178,,,,
70,,13:00,20:00,7:00,7,,Desarrollo,Proyecto Visualización Facturas SURA en enteacara.org.ar y WACAFAC,,,,
80,11/04/2015,13:00,20:00,7:00,7,,Desarrollo,Proyecto Visualización Facturas SURA en enteacara.org.ar y WACAFAC,,,,
90,,13:00,18:00,5:00,,5,Mantenimiento,Nueva Función de Control de Dominios Facturados para Detectar Elementos Vendidos y Dados de Baja por ser Solicitados por Error. ,,,,
100,12/04/2015,13:00,20:00,7:00,7,,Desarrollo,Proyecto Visualización Facturas SURA en enteacara.org.ar y WACAFAC,,,,
110,13/04/2015,9:00,13:00,4:00,4,,Desarrollo,Proyecto Visualización Facturas SURA en enteacara.org.ar y WACAFAC,,,,
120,,15:00,20:00,5:00,5,,Desarrollo,Proyecto Habilitar/Inhabilitar Compras en Internet,,,,
130,14/04/2015,15:00,20:00,5:00,5,,Desarrollo,Proyecto Habilitar/Inhabilitar Compras en Internet,,,,
140,15/04/2015,15:00,20:00,5:00,5,,Desarrollo,Proyecto Habilitar/Inhabilitar Compras en Internet,,,,
150,16/04/2015,15:00,20:00,5:00,5,,Desarrollo,Proyecto Habilitar/Inhabilitar Compras en Internet,,,,
160,17/04/2015,14:00,20:00,6:00,6,,Desarrollo,Proyecto Habilitar/Inhabilitar Compras en Internet,,,,
240,25/04/2015,14:00,18:00,4:00,,4,Mantenimiento,Rev Log. Rendición Cero Chapas,,,,
250,26/04/2015,14:00,18:00,4:00,,4,Mantenimiento,Rev Log. Rendición Cero Chapas,,,,
260,27/04/2015,15:00,18:00,3:00,,3,Mantenimiento,Rev Log. Rendición Cero Chapas,,,,
280,28/04/2015,10:00,14:00,4:00,4,,Desarrollo,Reporte de Totales x Cliente de Cedulas Autorizados,,,,
300,,15:00,16:00,1:00,,,Mantenimiento,Sin Stock DJM y ACE a CUA ,,,,
320,29/04/2015,10:00,14:00,4:00,4,,Desarrollo,Reporte de Totales x Cliente de Cedulas Autorizados,,,,
340,29/04/2015,15:00,16:00,,,,Mantenimiento,Notas de Credito 26 y 27 Problemas en Dtos Ente A,,,,
360,30/04/2015,15:00,16:00,,,,Mantenimiento,Cambio de Productos ACE a CUA en Pedidos de Internet para Facturar,,,,
,,,,,77,22,,,,,,:
,,,,,,,,,,,,
,,,,,,,,,,,,
